Title,Details,Overview,Priority,Type,Status,Assignees,Tags,Estimation
HU-OBS-01 — Bitácora de auditoría de acciones sensibles,"Escritura síncrona, dentro de la misma transacción de la operación que audita. · Nota conocida: al resolver ""quién"" lo hizo *después* de la operación en la misma transacción, una auto-eliminación deja el actor en blanco en la bitácora (ver RUNBOOK.md). Implementado en: AuditLogService, tabla audit.audit_logs","Como PRISMA_ADMIN, quiero que toda acción sensible (crear/editar/borrar usuarios, organizaciones, evaluaciones, cambios de contraseña, login/logout) quede registrada con quién, qué y cuándo, para poder reconstruir qué pasó ante un incidente.",P3,Story,Completed,,Observabilidad,
"HU-OBS-02b — Consultar la bitácora desde la UI (""Actividad del Sistema"")","Filtro por texto libre (acción/recurso) y por tipo de acción; columna ""Recurso Afectado"" resuelve el nombre real de la entidad involucrada (ej. Usuario: Jane Doe, Organización: Acme S.A.) en vez de mostrar sólo un id — cae al id acortado (con el string completo en el tooltip) si el tipo no tiene nombre propio o la entidad ya no existe. · Mismo aislamiento multi-tenant que el resto de la app: ORG_RESPONSIBLE sólo ve la actividad de su propia organización. Implementado en: GET /api/audit-logs, AuditLogService.list/resolveResourceName, ActivityLogView.vue","Como PRISMA_ADMIN (todos los tenants) u ORG_RESPONSIBLE (el propio), quiero poder ver y filtrar la bitácora desde la app, sin necesitar acceso directo a la base de datos.",P3,Story,Completed,,Observabilidad,
HU-OBS-03b — Registro de intentos de login fallidos,"El login lo maneja Keycloak directamente (Authorization Code + PKCE) — backend-core nunca ve ese POST. Un job programado (LoginFailureAuditSyncService, cada 15s por defecto) trae los eventos LOGIN_ERROR que Keycloak ya audita solo (eventsEnabled=true en el realm) y los refleja en la bitácora propia como acción LOGIN_FAILED. · Si el email intentado coincide con un usuario real, el intento queda vinculado a su organización (para que ORG_RESPONSIBLE lo vea) y a su nombre; si no coincide con nadie (usuario inexistente), queda sin vincular y sólo lo ve PRISMA_ADMIN. · El bloqueo en sí no es cosa de esta historia: ya lo hace Keycloak (bruteForceProtected, failureFactor: 5 por defecto — configurable en vivo desde su consola de administración, Realm Settings → Security Defenses → Brute Force Detection, sin redeploy). Esto sólo le da visibilidad al equipo desde la app. Implementado en: LoginFailureAuditSyncService, KeycloakAdminClient.fetchLoginFailures, AuditLogService.recordLoginFailure. Ver SECURITY.md","Como PRISMA_ADMIN/ORG_RESPONSIBLE, quiero ver en la bitácora los intentos de login fallidos (quién, desde qué IP, cuándo) para detectar intentos de fuerza bruta contra cuentas de mi organización.",P3,Story,Completed,,Observabilidad,
HU-OBS-02 — Logs centralizados y métricas de los contenedores,"Dos vías paralelas: Grafana + Loki + Prometheus (principal) y, opcionalmente, Elasticsearch + Kibana + Filebeat (perfil elastic, búsqueda libre). Implementado en: perfiles observability/elastic de docker-compose.yml. Ver docs/CI-CD-Infra.md","Como equipo de operación, quiero ver los logs de todos los contenedores centralizados y métricas de infraestructura en un solo lugar, para diagnosticar un incidente sin entrar contenedor por contenedor.",P4,Story,Completed,,Observabilidad,
HU-OBS-03 — Sesiones de frontend grabadas (LogRocket),Implementado en: apps/frontend/src/plugins/logrocket.ts,"Como equipo de desarrollo, quiero poder reproducir la sesión de un usuario que reportó un error en el frontend, para diagnosticar bugs que no se explican sólo con logs de backend.",P4,Story,Completed,,Observabilidad,
HU-INFRA-01 — Levantar el stack completo con un solo comando,"Implementado en: docker-compose.yml (perfiles app, security, full, etc.). Ver README.md (Quickstart) y docs/Dev-Config.md","Como desarrollador, quiero levantar todo el stack (frontend, backends, Postgres, Keycloak, MinIO, Redis, Ollama/ChromaDB) con un solo comando, para no tener que instalar ni configurar cada dependencia a mano.",P3,Story,Completed,,Infraestructura,
HU-INFRA-02 — Desplegar en un cluster Kubernetes con redundancia,"Frontend y backend-core: 2 réplicas (stateless, sin estado local). · backend-ai: 2 réplicas (stateless; el índice de ChromaDB vive en un volumen persistente compartido, no en memoria del proceso). · Postgres, Redis, MinIO, Ollama y la base de Keycloak son, a propósito, réplica única en este manifiesto: son componentes con estado (bases de datos, cache, object storage, modelo de IA) donde escalar a 2 réplicas sin un mecanismo de clustering real (replicación, Sentinel, modo distribuido) no da redundancia — corrompe o duplica el estado. Ver docs/Kubernetes-Minikube-Portainer.md para el detalle de por qué cada uno queda así y qué camino seguir para una HA real de producción. Implementado en: infra/kubernetes/base/*.yaml, infra/kubernetes/overlays/*/patches.yaml","Como equipo de operación, quiero desplegar PRISMA en un cluster Kubernetes (minikube en local) con al menos dos réplicas de cada componente que pueda escalar horizontalmente sin inconsistencias, para que la caída de un pod no tumbe la aplicación.",P4,Story,Completed,,Infraestructura,
HU-INFRA-03 — CI/CD automático,"Implementado en: .github/workflows/ci.yml, build-and-push.yml, deploy.yml, security.yml, sonarqube.yml. Ver docs/CI-CD-Infra.md","Como equipo de desarrollo, quiero que cada push corra lint + tests + build automáticamente, y que cada release construya y publique las imágenes, para no depender de que alguien se acuerde de correrlo a mano.",P3,Story,Completed,,Infraestructura,
pkg0 — pom.xml: config de maven-surefire/failsafe para JDK 25,Agregar -XX:+EnableDynamicAgentLoading -Djdk.attach.allowAttachSelf=true -Xshare:off (con @{argLine} tardío para no pisar JaCoCo) a surefire y failsafe. Sin esto los @SpringBootTest + Testcontainers revientan al forkear la VM en JDK 25 (self-attach de ByteBuddy). Opcional: <java.version> 21 -> 25.,"Como equipo de desarrollo, quiero poder correr los tests de integración en JDK 25 localmente, para no depender de CI para validar cambios de backend.",P1,Task,New,,Build,
pkg1 — Endpoint GET /api/catalog/{version}/controls (lista plana de controles),"Nuevo CatalogControlFlatDto (id, code, description, targetLevel, requirementCode, requirementDescription, domain) y CatalogService.listControlsFlat: 404 si la versión no existe, ordena por (dominio, nº requisito, nº control) con comparación numérica. @Size(max=5000) en CreateCommunityProfileDto.controlIds.","Como frontend del selector de perfiles, quiero una lista plana y ordenada de todos los controles de una versión, para poder renderizar un selector eficiente sin recorrer el árbol completo.",P2,Task,New,,Perfiles,
pkg1 — Selector de perfiles nuevo (CommunityProfileControlPicker.vue),"Componente que reemplaza el v-for anidado: controles agrupados por dominio en secciones colapsables (colapsadas por defecto), checkbox tri-estado por dominio, buscador (código + descripción), filtro por nivel objetivo (1-4), botones Seleccionar todo / Limpiar / Seleccionar visibles. form.controlIds sigue siendo string[] de UUIDs, el payload no cambia.","Como PRISMA_ADMIN, quiero armar un perfil comunitario seleccionando controles de a dominios enteros y con búsqueda, para no tener que tildar cientos de casillas una por una hasta que la sesión expire.",P2,Task,New,,Perfiles,
pkg1 — Duplicar-desde-perfil e importar/exportar CSV/JSON en el alta de perfil,"En el modal de creación de perfil: BaseSelect para clonar los controles de un perfil existente de la misma versión; exportar la selección a CSV (una columna code) y volver a importar .csv/.json (códigos -> ids; códigos desconocidos en un alert, no rompen; opción de sumar a la selección actual).","Como PRISMA_ADMIN, quiero partir de un perfil existente o de un archivo, para no rearmar de cero perfiles parecidos.",P3,Task,New,,Perfiles,
pkg1 — Refresh silencioso del token de Keycloak,"keycloak-js onTokenExpired + setInterval(updateToken, 60s); el interceptor 401 de api.ts intenta refrescar (await refreshToken()) y sólo desloguea si falla, con guarda _retried para no reintentar en loop.","Como usuario, quiero seguir trabajando sin que se me corte la sesión en medio de una tarea larga, para no perder avance por un token vencido.",P2,Task,New,,Autenticación,
pkg2 — Pestaña 'Tablas y promedios' en resultados de madurez,"Nueva pestaña dentro de la card de resultados (sin sacar la vista actual): tabla con nombre + sigla + nivel por función, tabla por categoría marcada por función, y un gráfico a nivel subcategoría (más granular que el de funciones). Todos los niveles = media aritmética plana de las partes, 2 decimales. Referencia visual: Graficos.png.","Como cualquier rol viendo una evaluación terminada, quiero ver el detalle por función y por categoría en tablas y un gráfico más granular, para leer los resultados como en la planilla de Agesic.",P2,Task,New,,Reportes,
pkg2 — Composable useMaturitySummary (media plana sobre las 103 subcategorías),"useMaturitySummary(results, catalogFunctions) devuelve { general, byFunction, byCategory, categoryRadarItems }: promedia sobre TODAS las subcategorías del árbol del catálogo (subcategoría sin fila = nivel 0), no sólo las presentes en results. Cubierto por useMaturitySummary.spec.ts.","Como frontend de resultados, quiero un único cálculo de promedios alineado a la planilla de Agesic, para que las tablas y el dashboard muestren el mismo número.",P2,Task,New,,Reportes,
pkg2 — MaturityRadarChart con 'Nivel objetivo' opcional,"withDefaults(defineProps<{items; showTarget?: boolean}>(), { showTarget: true }); el dataset 'Nivel objetivo' sólo se agrega si showTarget. Permite reusar el radar a nivel categoría sin la línea de objetivo.","Como frontend, quiero reusar el gráfico radar para distintos niveles de agregación, para no duplicar el componente.",P4,Task,New,,Reportes,
pkg2 — Stack MVP mínimo (docker-compose.mvp.yml + make mvp-up),"Override de compose con perfil mvp: sólo front, back, keycloak, postgres, redis, nginx (HTTPS) — sin Ollama/LLM, sin observabilidad, sin MinIO. backend-ai con depends_on: !reset [] para soltar ollama.","Como desarrollador, quiero levantar sólo lo mínimo para cargar catálogos y hacer evaluaciones, para no tener que esperar y alimentar a Ollama y todo el stack de observabilidad.",P3,Task,New,,Infraestructura,
pkg3 — Alinear calculateMaturity a la fórmula de la planilla de Agesic,"EvaluationService.calculateMaturity puntúa la madurez de una subcategoría sobre TODOS los controles del marco ubicados en ella (un control sin respuesta 'cumple' frena el nivel), no sólo los del perfil. Emite 103 filas MaturityResult por evaluación 5.x. Baja el globalMaturity de toda evaluación con perfil. Reproduce las 3 planillas 103/103 (Básico 1.165, Estándar 1.689, Avanzado 2.029).","Como responsable de una organización, quiero que el nivel de madurez que muestra PRISMA sea idéntico al que da la planilla oficial de Agesic, para poder confiar en el número y comunicarlo.",P1,Task,New,,Evaluaciones,
pkg3 — Mapeo curado control↔subcategoría (V18 + effectiveSubcategories + importCatalog),"Tabla catalog_control_subcategories (V18, sólo DDL), CatalogControl.effectiveSubcategories() (usa el mapeo curado si existe, si no cae al de requisito→subcategoría), y CatalogService.importCatalog enlaza cada control listado bajo un bloque subcategoría→requisito. Agesic usa ~1013 pares curados vs ~1921 del cruce requisito→subcategoría.","Como sistema, quiero calcular la madurez de cada subcategoría sólo sobre los controles que Agesic efectivamente ubicó en ella, para reproducir su modelo.",P2,Task,New,,Catálogo,
pkg3 — Seed 5.0 alineado a Agesic 2025 (V19 + scripts/mcu50/build.py),"Migración generada V19__mcu50_align_agesic_2025.sql: control nuevo OR.5-10, los 1013 pares catalog_control_subcategories y la membresía de los 3 perfiles sembrados (Básico 165 / Estándar 234 / Avanzado 309, = columna 'Línea Base' de cada planilla). scripts/mcu50/build.py la regenera desde docs/mcu-5.0/Planilla MCU 5.0 *.xlsx. Reemplaza los ~12 scripts de 'MCU 5.2'; ya no hay versión de catálogo separada.","Como equipo de despliegue, quiero que un deploy limpio siembre el catálogo y los perfiles ya alineados a las planillas 2025, para no tener que importarlos a mano ni mantener dos versiones casi idénticas.",P1,Task,New,,Catálogo,
pkg3 — MaturityValidationIT (coteja PRISMA vs planilla de Agesic),"Test de integración (@SpringBootTest + Testcontainers) que usa el catálogo 5.0 y el perfil Básico sembrados, marca 'cumple' los 165 controles requeridos y verifica que calculateMaturity reproduce la columna 'Nivel de Madurez' de la planilla en las 103 subcategorías (0 diferencias, general 1.165). Baseline: scripts/mcu50/build.py -> expected_basico.json.","Como equipo, quiero una prueba automática que falle si el cálculo de madurez se desvía de la planilla oficial, para no volver a trabajar con números que no sabemos si están bien.",P2,Task,New,,Testing,
pkg3 — Ajustar PrismaApplicationIT al catálogo alineado,"TOTAL_CONTROLS 670 -> 671 (+ OR.5-10); los tests de cálculo eligen la subcategoría y sus controles vía control.effectiveSubcategories() (el mapeo curado que usa calculateMaturity), no requirement.getSubcategories().","Como equipo, quiero que la suite de integración siga verde después de alinear el seed, para poder mergear con confianza.",P3,Task,New,,Testing,
pkg3 — Actualizar la documentación con el modelo nuevo,"docs/PLAN-CAMBIOS-EQUIPO.md (sin 'MCU 5.2', redivisión pkg0-3), docs/HistoriasDeUsuario.md y docs/diagramas/casos-de-uso.md: el promedio global ahora es sobre las 103 subcategorías (0 en las no cubiertas) y la madurez de subcategoría es sobre el marco completo, no sólo el perfil.","Como integrante del equipo, quiero que la documentación refleje el modelo de cálculo vigente, para no implementar contra una descripción vieja.",P3,Task,New,,Documentación,
Mejora — Hacer MFA/TOTP obligatorio para PRISMA_ADMIN,MFA/TOTP está configurado en el realm de Keycloak pero no es obligatorio para ningún rol. Hacerlo requerido al menos para PRISMA_ADMIN (Required Action / flujo de autenticación del realm).,"Como plataforma, quiero exigir un segundo factor a las cuentas con privilegios globales, para reducir el impacto de una credencial de admin comprometida.",P3,Task,New,,Seguridad,
npm run lint falla: variable _unused sin usar en validators.spec.ts,"apps/frontend/tests/utils/validators.spec.ts:87 usa `const { organizationId: _unused, ...withoutOrg } = valid` y @typescript-eslint/no-unused-vars lo marca como error, así que `npm run lint` termina con exit != 0 en limpio. Preexistente en main (commit 0b64208). Fix: renombrar a un patrón ignorado, usar rest sin nombrar la key, o ajustar varsIgnorePattern en la config de eslint.","Como equipo, quiero que `npm run lint` pase en limpio, para que el gate de CI y el pre-commit sean confiables.",P2,Bug,New,,Frontend,
Accesibilidad WCAG 2.1 AA incompleta,Los tests de accesibilidad (Playwright + axe) no pasan del todo: falta aria-label en el botón de colapsar el sidebar y hay contraste insuficiente en algunos textos (ver docs/Testing.md).,"Como usuario con lector de pantalla o baja visión, quiero que la interfaz cumpla WCAG 2.1 AA, para poder operar PRISMA sin barreras.",P3,Bug,New,,UX,
@PreAuthorize + @Valid: devuelve 400 (validación) en vez de 403 (permiso),"En un endpoint con @PreAuthorize + @Valid (p.ej. POST /api/catalog/import), Spring resuelve la validación del body antes de evaluar el rol: un request sin permiso con body inválido recibe 400 con el detalle de validación en vez del 403 esperado. No es un bypass (con body válido el mismo rol sin permiso sí recibe 403) pero filtra el shape del DTO. Ver docs/API.md.","Como sistema, no quiero revelar la forma del body a quien no tiene permiso para llamar el endpoint, para no dar información útil a un atacante.",P4,Bug,New,,Backend,
Bitácora: el actor queda en blanco al auto-eliminarse un usuario,"AuditLogService resuelve 'quién' hizo la acción después de la operación, dentro de la misma transacción; si la operación fue que un usuario se borró a sí mismo, para cuando se resuelve el actor la fila ya no existe y queda en blanco. Ver docs/RUNBOOK.md y HU-OBS-01.","Como PRISMA_ADMIN investigando un incidente, quiero que toda entrada de la bitácora tenga el actor, incluso cuando la acción fue una auto-eliminación.",P4,Bug,New,,Observabilidad,
